,CreditScore,Age,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Tenure_4-6,Tenure_7-10,Balance_150k+,Balance_Até 100k,Balance_Zerada,NumOfProducts_NumProd2+
62,0.555,33,0,0,178798.13,0,0,1,1,0,0,0,1,0,1
63,0.684,56,1,1,99398.36,0,0,1,1,0,1,0,1,0,0
64,0.603,26,1,1,92840.67,0,1,0,1,1,0,0,0,0,0
65,0.751,36,1,1,27758.36,0,1,0,0,1,0,1,0,0,1
66,0.581,34,1,0,110431.51,0,1,0,0,0,0,0,0,0,0
67,0.735,43,1,1,196673.28,0,1,0,1,0,1,0,0,0,1
68,0.661,35,0,1,113656.85,0,1,0,0,1,0,1,0,0,1
69,0.675,21,1,0,18203.0,0,0,0,0,0,1,0,1,0,0
70,0.738,58,1,0,28373.86,1,1,0,1,0,0,0,0,0,1
71,0.813,29,1,0,33953.87,0,0,0,1,1,0,0,0,1,0
72,0.657,37,0,1,44203.55,0,0,1,0,0,0,1,0,0,0
73,0.604,25,1,1,58426.81,0,1,0,0,1,0,1,0,0,1
74,0.519,36,0,1,145562.4,0,0,0,1,0,1,0,0,1,1
75,0.735,21,1,0,22388.0,0,0,0,0,0,0,1,0,0,1
76,0.664,55,1,1,139161.64,0,0,0,1,0,1,0,0,1,1
77,0.678,32,1,1,148210.64,0,0,0,0,0,1,0,0,1,0
78,0.757,33,0,1,194239.63,0,0,1,1,1,0,0,1,0,0
79,0.416,41,1,0,98301.61,0,1,0,0,0,1,0,0,0,1
80,0.665,34,0,0,171413.66,0,0,0,0,0,0,0,1,0,1
81,0.777,32,1,0,136458.19,1,0,0,0,0,0,0,0,1,0
82,0.543,36,0,0,26019.59,0,0,0,0,0,0,0,0,1,1
83,0.506,34,1,1,159235.29,0,0,0,0,1,0,0,1,0,0
84,0.493,46,1,0,1907.66,0,0,0,0,1,0,0,0,1,1
85,0.652,75,1,1,114675.75,0,0,1,0,0,1,0,0,1,1
86,0.75,22,1,0,128643.35,1,0,1,1,0,0,0,0,0,0
87,0.729,30,1,0,151869.35,0,0,0,1,0,1,0,0,1,1
88,0.646,46,1,0,93251.42,1,0,0,0,1,0,0,0,1,1
89,0.635,28,1,1,156791.36,0,1,0,0,0,0,0,1,0,1
90,0.647,44,1,1,174205.22,1,0,1,0,1,0,0,0,1,1
91,0.808,45,1,0,147132.46,0,0,0,1,0,1,0,0,0,1
92,0.524,36,1,0,109614.57,0,0,0,0,0,1,0,0,1,1
93,0.769,29,1,1,172290.61,0,0,0,1,0,1,0,0,1,1
94,0.73,42,0,1,85982.47,0,0,1,1,1,0,0,0,1,1
95,0.515,35,0,1,121277.78,0,0,1,1,0,1,1,0,0,0
96,0.773,41,0,1,64595.25,0,0,1,1,0,1,0,0,0,0
97,0.814,29,1,1,197276.13,0,1,0,1,0,1,0,1,0,1
98,0.71,22,0,0,99645.04,0,0,1,1,0,1,0,0,1,1
99,0.413,34,0,0,6534.18,0,0,0,1,0,1,0,0,1,1
100,0.665,40,1,1,161848.03,0,0,0,0,1,0,0,0,1,0
101,0.623,44,0,0,167162.43,0,0,0,0,1,0,0,0,1,1
102,0.738,31,1,0,41970.72,0,0,0,1,0,1,0,1,0,0
103,0.528,36,1,0,60536.56,0,0,1,1,0,1,0,0,1,1
104,0.67,65,1,1,177655.68,1,0,1,0,0,0,0,0,1,0
105,0.622,46,1,1,30984.59,1,0,1,0,1,0,0,0,0,1
106,0.582,32,1,1,10054.53,0,1,0,1,0,0,0,1,0,0
107,0.785,36,0,1,36976.52,0,1,0,0,0,0,0,1,0,0
108,0.605,33,0,0,71862.79,0,0,1,1,1,0,1,0,0,0
109,0.479,35,1,0,99449.86,1,1,0,1,0,1,0,1,0,0
110,0.685,30,0,1,63082.88,0,1,0,1,0,0,0,1,0,0
111,0.538,39,1,0,27231.26,0,1,0,1,0,1,0,0,0,1
112,0.562,42,0,0,86797.41,0,0,0,1,0,0,0,0,0,0
113,0.675,36,0,1,22994.32,0,0,1,1,0,1,0,0,0,0
114,0.721,28,0,1,101300.94,1,1,0,1,0,1,1,0,0,1
115,0.628,30,1,1,74169.13,0,1,0,0,0,1,0,0,0,1
116,0.668,37,1,0,115638.29,0,1,0,0,1,0,1,0,0,0
117,0.506,41,1,0,31766.3,0,0,0,0,0,0,0,0,1,1
118,0.524,31,1,0,199725.39,1,1,0,0,0,1,0,0,0,0
119,0.699,34,1,0,120834.48,0,1,0,1,1,0,1,0,0,1
120,0.828,34,0,0,38131.77,0,0,0,1,0,1,0,0,0,1
121,0.674,39,0,0,100130.95,0,0,1,1,1,0,0,0,0,0
122,0.656,39,1,0,141069.88,0,0,0,0,1,0,0,0,1,1
123,0.684,48,1,1,198129.36,0,1,0,0,0,1,0,0,0,0
124,0.625,28,0,0,183646.41,0,0,0,0,0,0,0,0,1,0
125,0.432,42,1,0,110265.24,1,0,0,1,0,1,1,0,0,0
126,0.549,52,0,1,8636.05,1,0,0,0,0,0,0,0,1,0
127,0.625,56,1,0,46824.08,1,1,0,1,0,0,0,0,0,0
128,0.828,41,1,0,171378.77,0,0,0,0,0,1,0,0,1,1
129,0.77,24,1,0,167256.35,0,0,0,1,0,1,0,0,0,0
130,0.758,34,1,1,124226.16,0,0,0,0,0,0,0,0,1,1
131,0.795,33,1,1,114935.21,0,1,0,0,0,1,0,0,0,0
132,0.687,38,1,1,35608.88,0,0,0,1,0,1,0,0,0,0
133,0.686,25,0,1,16459.37,0,0,0,1,0,0,0,0,1,1
134,0.789,39,1,1,124411.08,0,1,0,1,0,1,0,0,0,1
135,0.589,50,1,1,34941.23,0,1,0,0,1,0,0,0,0,1
136,0.461,34,0,1,167784.28,0,1,0,0,1,0,0,1,0,0
137,0.637,40,0,1,93165.34,0,0,0,1,0,0,0,0,0,0
138,0.584,48,1,0,75161.25,1,0,1,0,0,0,1,0,0,0
139,0.579,35,0,1,8590.83,1,0,1,0,0,0,0,0,0,1
140,0.756,44,1,0,189543.9,0,1,0,1,0,1,0,0,0,0
141,0.663,34,1,1,180427.24,0,0,0,1,0,1,0,0,1,1
142,0.682,43,1,1,193318.33,0,0,0,0,1,0,0,0,0,0
143,0.793,52,1,0,159123.82,1,0,1,1,0,0,0,0,1,0
144,0.691,31,1,0,126213.84,1,0,0,0,1,0,0,1,0,0
145,0.485,21,1,1,54141.5,0,0,1,0,1,0,0,0,0,0
146,0.635,29,1,0,141075.51,0,0,1,0,0,1,0,0,0,1
147,0.65,37,0,0,24495.03,0,0,0,1,1,0,0,0,0,0
148,0.735,44,1,0,74836.34,0,0,0,1,0,1,0,0,0,0
149,0.416,32,0,1,878.87,0,0,0,1,0,0,0,0,1,1
150,0.754,32,1,0,89520.75,0,0,1,0,0,1,0,0,1,1
151,0.535,48,1,0,149892.79,1,0,0,0,0,1,0,0,1,0
152,0.716,42,1,0,180800.42,0,0,1,1,0,1,0,0,1,1
153,0.539,37,1,0,98646.22,0,0,0,1,0,0,0,0,0,0
154,0.614,43,1,1,109041.53,0,0,0,0,1,0,0,0,1,1
155,0.706,57,1,0,17941.16,1,0,1,1,0,1,0,0,1,0
156,0.758,33,0,0,82996.47,0,0,0,0,0,1,0,0,1,1
157,0.586,28,1,1,92067.35,0,0,1,0,0,0,0,0,1,1
158,0.646,73,0,1,104719.66,0,0,0,0,1,0,0,1,0,0
159,0.631,33,0,0,112687.57,0,1,0,0,1,0,0,0,0,0
160,0.717,22,0,1,84699.56,0,0,1,0,1,0,0,0,0,0
161,0.684,30,1,0,83473.82,0,0,0,1,0,0,0,0,1,1
162,0.8,49,0,0,47125.11,0,0,0,0,0,1,0,0,0,0
163,0.721,36,1,1,106977.8,0,0,1,0,0,0,0,0,1,1
164,0.683,29,1,0,55582.54,1,0,1,1,0,0,0,0,0,0
165,0.66,31,1,1,139874.43,0,1,0,1,0,1,0,0,0,1
166,0.704,24,1,0,162503.48,1,1,0,0,0,1,0,0,0,0
167,0.615,41,1,0,196499.96,0,0,1,0,0,1,0,0,0,0
168,0.667,39,1,0,40721.24,1,0,1,0,0,0,0,0,1,1
169,0.682,24,0,0,53134.3,0,1,0,1,0,1,0,1,0,1
170,0.484,29,1,0,164017.89,0,0,0,0,1,0,0,0,0,0
171,0.628,27,1,0,155996.96,0,1,0,1,1,0,0,1,0,1
172,0.48,44,1,0,5472.7,1,1,0,1,0,1,0,0,0,0
173,0.578,30,1,0,112187.11,0,0,0,1,1,0,1,0,0,0
174,0.512,40,1,1,146457.83,0,0,0,1,1,0,0,0,1,1
175,0.484,35,1,1,27286.1,0,0,1,0,0,1,0,0,0,0
176,0.51,30,1,1,130553.47,0,0,0,0,0,0,0,0,1,1
177,0.606,36,0,0,179351.89,0,1,0,1,1,0,1,0,0,1
178,0.597,40,0,1,94774.12,0,0,1,0,0,1,0,0,0,0
179,0.754,55,1,0,8080.85,1,1,0,0,0,0,1,0,0,0
180,0.85,45,1,1,19482.5,0,0,1,0,0,0,0,0,0,0
181,0.51,65,1,1,48071.61,0,0,0,1,0,0,0,0,1,1
182,0.778,45,1,0,174531.27,0,1,0,0,0,0,1,0,0,1
183,0.636,42,1,1,55470.78,0,0,0,1,0,0,0,0,1,1
184,0.804,50,1,1,8546.87,1,0,0,0,1,0,0,0,1,0
185,0.514,32,1,0,95857.18,0,0,0,1,0,1,0,0,1,1
186,0.73,39,1,0,194945.8,0,0,0,0,0,0,0,1,0,0
187,0.525,37,0,1,131521.72,0,0,1,0,0,0,0,0,1,0
188,0.616,30,0,1,196108.51,0,0,1,1,1,0,0,0,1,1
189,0.687,34,1,0,148564.76,0,1,0,0,0,1,0,0,0,1
190,0.715,41,0,0,92982.61,1,0,0,0,0,1,0,1,0,1
191,0.512,36,1,0,17675.36,0,0,0,0,0,0,0,1,0,1
192,0.479,40,0,0,114996.43,0,0,0,1,0,0,0,0,1,1
193,0.601,32,1,0,86957.42,0,0,0,1,0,1,0,1,0,0
194,0.58,29,1,0,128077.8,0,0,1,1,0,1,0,1,0,1
195,0.807,35,1,1,600.36,0,0,0,1,0,0,1,0,0,0
196,0.616,32,1,1,43001.46,0,0,1,0,1,0,0,0,1,1
197,0.721,37,1,1,158591.12,0,1,0,1,0,0,0,0,0,0
198,0.501,57,1,1,47847.19,0,0,0,1,0,1,0,0,1,1
199,0.521,35,1,0,10488.44,0,0,0,1,1,0,0,1,0,0
200,0.85,30,1,1,5978.2,0,0,1,1,0,0,0,0,0,0
201,0.759,42,0,1,121409.06,0,0,0,1,1,0,0,0,0,0
202,0.516,50,0,1,146145.93,1,0,1,1,1,0,0,0,1,0
203,0.711,38,1,1,14374.86,1,0,0,0,0,0,0,0,0,1
204,0.512,33,1,0,94670.77,0,0,1,1,0,0,1,0,0,0
205,0.55,37,1,1,179670.31,0,0,0,1,0,0,0,0,1,0
206,0.608,41,0,0,199304.74,1,0,1,0,0,0,0,1,0,0
207,0.618,34,1,1,151954.39,0,0,0,1,1,0,0,0,0,0
208,0.643,45,1,0,142513.5,1,0,0,1,1,0,0,0,1,0
209,0.671,45,0,1,158264.62,0,0,0,1,0,0,0,0,0,0
210,0.689,33,1,0,169381.9,0,1,0,1,0,0,1,0,0,1
211,0.603,31,1,1,169915.02,0,0,0,1,0,1,0,0,1,1
212,0.62,41,0,0,88852.47,0,0,0,0,0,1,0,0,1,1
213,0.676,34,1,1,40645.81,0,0,0,0,0,0,0,1,0,0
214,0.572,26,0,0,60427.3,0,1,0,1,1,0,0,0,0,1
215,0.668,47,0,1,157959.02,1,1,0,1,0,1,0,0,0,0
216,0.695,46,1,0,133007.34,0,0,0,1,0,1,0,1,0,0
217,0.73,33,0,0,176576.62,0,0,1,0,0,1,0,0,1,1
218,0.807,43,1,0,34888.04,1,0,0,1,0,0,0,0,0,1
219,0.592,54,1,1,28737.71,1,0,0,1,0,1,0,0,1,0
220,0.726,31,1,1,98178.57,0,0,0,0,0,1,0,0,0,1
221,0.514,30,0,1,125010.24,0,0,1,1,0,1,0,0,1,0
222,0.567,42,1,1,167984.61,0,0,0,1,0,0,0,0,1,1
223,0.85,33,1,0,4861.72,1,0,0,1,0,1,0,0,1,0
224,0.671,45,1,1,108872.45,1,1,0,1,1,0,0,1,0,0
225,0.67,37,1,0,198252.88,0,0,0,1,1,0,1,0,0,1
226,0.694,30,1,1,26960.31,0,0,0,0,0,1,0,0,1,1
227,0.547,39,1,1,85746.52,1,1,0,0,1,0,0,1,0,1
228,0.751,50,1,0,77206.25,1,1,0,1,0,0,0,1,0,0
229,0.594,29,1,0,61048.53,0,1,0,0,0,0,0,0,0,0
230,0.673,72,0,1,111981.19,0,0,0,1,0,0,0,0,1,1
231,0.61,40,1,0,62232.6,0,0,0,1,0,0,0,0,1,1
232,0.512,37,0,1,156105.03,0,0,0,0,0,0,0,0,1,1
233,0.767,20,0,1,150135.38,0,1,0,1,0,0,0,0,0,1
234,0.585,67,0,1,93146.11,0,0,0,0,1,0,0,0,0,1
235,0.763,42,1,0,33462.94,1,1,0,1,1,0,0,0,0,0
236,0.712,29,1,1,144375.0,0,0,0,0,0,0,0,0,1,0
237,0.539,43,1,0,55803.96,1,1,0,0,0,0,0,0,0,1
238,0.668,46,1,0,89048.46,1,0,0,0,0,0,0,0,1,1
239,0.703,28,0,1,162812.16,0,0,0,1,0,0,0,1,0,1
240,0.662,38,1,0,136259.65,0,0,1,1,1,0,0,0,1,1
241,0.725,39,1,0,124052.97,0,1,0,0,1,0,0,0,0,0
242,0.703,37,0,1,74158.8,0,0,0,1,0,1,0,0,0,1
243,0.659,67,1,1,45071.09,1,1,0,1,1,0,0,0,0,0
244,0.523,34,1,0,62030.06,0,0,1,1,0,1,0,0,1,1
245,0.635,40,1,0,131953.23,1,0,0,0,0,1,0,0,0,0
246,0.772,26,1,0,79414.0,0,1,0,1,0,1,1,0,0,1
247,0.545,26,1,1,199638.56,0,0,0,0,0,0,0,0,1,1
248,0.634,24,1,1,157577.29,0,1,0,1,0,1,0,0,0,0
249,0.739,54,1,0,134420.75,1,1,0,1,0,1,0,0,0,0
250,0.771,36,0,0,99805.99,0,1,0,0,1,0,0,1,0,0
251,0.587,34,1,1,97932.68,0,0,1,0,0,0,0,0,1,1
252,0.681,79,0,1,170968.99,0,0,0,0,0,0,0,0,1,1
253,0.544,37,1,1,57558.95,0,1,0,1,0,0,0,1,0,0
254,0.696,28,0,0,176713.47,0,0,1,1,0,1,0,0,1,0
255,0.766,41,0,1,34283.23,0,0,1,1,0,0,0,0,1,1
256,0.727,34,1,1,198637.34,0,0,0,1,0,1,0,0,1,1
257,0.671,34,0,0,156917.12,0,1,0,0,1,0,0,1,0,1
258,0.693,30,1,1,50457.2,0,0,0,0,1,0,0,0,0,0
259,0.85,38,1,1,140075.55,0,1,0,1,0,0,0,1,0,0
260,0.732,42,1,1,65323.11,0,1,0,1,0,1,0,0,0,1
261,0.726,48,1,0,64323.24,0,0,1,0,1,0,0,1,0,0
262,0.557,32,1,0,14956.44,0,0,0,0,1,0,1,0,0,1
263,0.682,26,0,1,111879.21,0,0,0,0,0,0,0,0,0,0
264,0.738,31,1,1,18606.23,0,0,1,1,0,1,0,1,0,0
265,0.531,36,1,0,123137.01,0,0,1,0,0,1,0,1,0,0
266,0.498,34,1,1,148528.24,0,0,0,1,0,0,0,0,1,1
267,0.651,36,1,0,13898.31,0,0,0,1,0,1,0,0,1,1
268,0.549,39,0,0,81259.25,1,0,1,0,0,1,0,0,1,0
269,0.791,35,1,0,161051.75,0,1,0,0,0,1,0,1,0,0
270,0.65,41,0,1,191599.67,0,0,1,1,0,1,0,0,1,1
271,0.733,34,1,0,48559.19,1,1,0,1,0,0,0,0,0,1
272,0.811,34,1,1,186339.74,0,1,0,0,0,0,0,0,0,1
273,0.707,30,1,0,33159.37,0,0,0,1,0,1,0,0,1,1
274,0.712,28,0,1,93883.53,0,1,0,1,1,0,0,0,0,0
275,0.706,37,1,1,110899.3,0,0,1,0,0,1,0,0,1,1
276,0.756,62,1,1,11199.04,1,0,0,1,0,0,0,0,1,0
277,0.777,53,1,0,189992.97,0,0,0,0,0,1,0,0,1,1
278,0.646,35,0,1,164255.69,0,0,0,1,1,0,0,1,0,0
279,0.714,46,1,0,152167.79,1,0,0,1,0,0,0,0,1,0
280,0.782,39,1,1,33949.67,0,0,0,1,0,1,0,0,1,1
281,0.775,29,1,1,68143.93,0,0,1,1,0,1,0,0,1,1
282,0.479,35,1,1,47251.79,1,1,0,1,1,0,0,0,0,0
283,0.807,42,1,1,25885.72,0,0,0,1,0,1,0,0,0,0
284,0.799,22,0,1,192633.85,0,0,0,0,0,1,1,0,0,1
285,0.675,40,1,0,34577.36,0,0,0,1,0,1,0,0,0,1
286,0.602,29,1,0,161229.84,0,0,1,1,1,0,0,0,0,0
287,0.475,32,1,0,100816.29,0,0,0,0,0,1,0,0,0,0
288,0.744,26,1,1,181694.44,0,0,1,0,1,0,1,0,0,0
289,0.588,34,1,0,79078.91,0,0,1,1,0,1,0,0,1,1
290,0.703,42,0,1,137316.32,0,1,0,1,0,1,0,1,0,0
291,0.747,41,1,0,194926.86,0,0,1,0,1,0,0,1,0,1
292,0.583,27,1,0,51285.49,0,0,0,1,0,1,0,0,1,1
293,0.75,34,0,0,150401.53,1,0,1,0,0,1,0,0,0,0
294,0.681,38,1,1,112491.96,0,0,0,1,0,0,0,0,1,1
295,0.773,25,1,0,73656.38,0,0,0,1,0,0,0,0,0,0
296,0.714,31,1,1,106636.89,0,0,0,0,1,0,0,0,0,0
297,0.687,44,1,0,155853.52,1,0,1,0,0,1,0,0,1,1
298,0.511,58,1,1,162599.51,0,0,0,1,0,0,0,0,0,0
299,0.627,33,1,1,103737.82,0,0,0,1,1,0,0,0,1,1
300,0.694,31,1,0,160990.27,0,0,0,0,0,1,0,0,1,1
301,0.616,36,0,0,15462.84,0,0,1,0,1,0,0,0,0,0
302,0.687,35,1,0,10334.05,0,0,0,1,0,1,0,0,1,1
303,0.712,33,1,1,190686.16,0,0,0,0,1,0,0,0,1,1
304,0.553,33,0,0,94440.45,0,0,0,1,1,0,0,0,0,0
305,0.667,31,1,1,28257.63,0,0,0,1,0,0,0,0,0,0
306,0.731,43,1,1,170034.95,1,0,0,1,0,0,0,0,1,0
307,0.629,35,1,0,31824.29,0,1,0,1,0,1,1,0,0,1
308,0.614,50,1,0,127166.49,1,0,0,1,1,0,0,0,0,0
309,0.438,31,1,0,44937.01,0,1,0,1,0,1,0,1,0,0
310,0.652,80,1,1,188603.07,0,0,0,0,1,0,0,0,1,1
311,0.729,30,1,0,145111.37,0,1,0,1,1,0,0,1,0,0
312,0.642,38,0,0,171463.83,0,0,0,1,0,0,0,0,1,1
313,0.806,59,1,0,182822.5,0,1,0,0,0,0,0,0,0,0
314,0.744,36,1,1,87213.33,0,0,1,1,0,0,1,0,0,0
315,0.474,37,0,0,57175.32,0,0,1,1,0,0,0,0,1,1
316,0.559,49,1,0,120540.83,1,0,0,1,0,0,0,0,0,0
317,0.706,42,1,1,28714.34,0,0,1,1,0,1,0,0,1,1
318,0.628,22,1,0,85426.28,0,0,1,0,0,0,0,0,1,0
319,0.429,24,1,0,46170.75,0,0,0,1,1,0,0,1,0,0
320,0.525,57,1,1,64448.36,0,0,1,0,0,0,0,0,0,0
321,0.68,30,1,1,16278.97,0,0,0,0,0,1,0,0,0,0
322,0.749,40,1,0,182855.42,1,0,0,1,0,0,0,0,0,0
323,0.763,31,0,0,50404.72,0,0,0,0,1,0,0,0,1,1
324,0.734,30,1,0,107640.25,0,0,0,1,0,0,0,0,1,1
325,0.716,35,1,0,134132.65,0,0,0,1,1,0,0,0,0,0
326,0.594,35,1,0,103480.69,0,0,0,1,0,0,0,0,1,1
327,0.644,46,1,0,108761.05,1,0,0,0,0,1,0,1,0,0
328,0.671,35,1,1,179012.3,0,1,0,1,0,0,0,0,0,0
329,0.664,26,1,1,95145.14,0,1,0,1,0,1,0,0,0,1
330,0.656,50,0,1,72143.44,0,0,0,1,0,1,0,0,1,1
331,0.667,40,1,0,19162.89,0,0,1,0,0,0,0,0,0,0
332,0.663,44,0,1,144680.18,0,1,0,1,0,0,0,0,0,1
333,0.584,30,1,0,177772.03,1,1,0,0,0,1,0,0,0,0
334,0.626,37,1,0,5597.94,0,0,1,0,1,0,0,0,0,0
335,0.485,29,1,0,116828.51,1,0,0,1,0,1,1,0,0,0
336,0.659,32,0,1,174652.51,0,1,0,0,0,0,1,0,0,1
337,0.649,33,1,0,2010.98,0,0,0,1,0,0,0,0,1,1
338,0.805,39,1,0,14109.85,1,0,1,0,1,0,1,0,0,0
339,0.716,39,1,0,43527.4,1,1,0,0,0,1,0,0,0,0
340,0.642,40,0,1,86099.23,1,1,0,0,1,0,0,0,0,1
341,0.659,31,0,0,161574.19,0,0,0,1,1,0,0,0,0,0
342,0.545,47,1,1,38970.14,0,0,1,0,1,0,0,0,1,1
343,0.543,22,0,0,127587.22,0,0,0,1,0,1,0,0,1,1
344,0.718,25,1,0,30380.12,0,0,0,0,0,1,0,0,1,1
345,0.84,43,1,0,90908.95,0,0,0,0,0,1,0,0,1,1
346,0.63,34,1,0,138275.01,0,1,0,0,0,1,0,0,0,1
347,0.643,59,1,1,32171.79,0,1,0,1,0,0,1,0,0,0
348,0.654,32,1,1,126143.23,0,1,0,0,0,0,0,0,0,0
349,0.582,39,1,1,129892.93,0,0,0,1,1,0,0,0,1,1
350,0.659,32,1,1,102416.84,0,0,1,1,0,0,0,0,0,1
351,0.762,39,1,1,18719.67,0,0,1,1,0,0,0,1,0,0
352,0.568,32,1,0,61936.22,0,0,1,0,0,1,1,0,0,0
353,0.67,25,1,1,78358.94,0,0,1,1,1,0,0,0,1,1
354,0.613,45,1,1,147224.27,0,0,0,0,0,0,1,0,0,1
355,0.539,30,1,0,160979.66,0,0,0,1,0,0,0,0,1,1
356,0.85,57,1,1,132298.49,0,0,1,0,0,1,0,0,0,1
357,0.522,34,1,0,174248.52,1,0,1,1,0,1,0,0,0,0
358,0.737,41,1,1,123547.28,0,0,0,1,0,0,0,0,0,0
359,0.52,58,0,1,32790.02,0,0,0,1,0,0,0,0,1,1
360,0.706,28,0,1,181543.67,0,0,1,1,0,0,0,0,1,1
361,0.643,45,0,1,2319.96,1,1,0,0,0,0,1,0,0,0
362,0.648,50,1,1,189543.19,0,0,0,0,0,1,0,0,0,0
363,0.443,29,1,0,10940.4,0,1,0,0,0,1,0,1,0,1
364,0.64,68,1,1,199493.38,0,0,0,1,0,1,0,0,1,1
365,0.628,33,1,1,188193.25,0,0,1,0,0,0,0,0,1,0
366,0.54,42,1,0,172572.64,0,1,0,0,0,1,0,1,0,1
367,0.46,35,1,1,189339.6,0,1,0,0,0,1,0,0,0,1
368,0.636,34,0,1,53512.16,0,1,0,1,0,0,0,1,0,1
369,0.593,29,1,0,34004.44,0,0,0,0,0,0,1,0,0,0
370,0.801,42,1,1,10598.29,0,0,1,1,1,0,0,0,0,0
